Key,text,lang,created_at,created_day,timeonly,created_dateonly,datetime,retweet_count,coordinates,geo,place,retweeted,truncated,user_favourites_count,user_followers_count,user_following,user_friends_count,user_geo_enabled,user_listed_count,user_location,user_statuses_count,user_time_zone,user_screen_name,file,sentiment_score,sentiment
13965,RT @MetroNewsCanada: Canadian Food Inspection Agency expands yogurt #recall to Yoplait and Liberte  ,en,Wed Jul 19 17:56:30 ,Wed,17:56:30,7/19/2017,7/19/2017 17:56,11,,,,False,False,235,76228,False,4125,False,1538,"Toronto, Ontario",60311,Central Time (US & Canada),metrotoronto,jsonfile_yoplait.json,0.9364657402038574,neutral
13966,RT @MetroNewsCanada: Canadian Food Inspection Agency expands yogurt #recall to Yoplait and Liberte  ,en,Wed Jul 19 17:56:28 ,Wed,17:56:28,7/19/2017,7/19/2017 17:56,11,,,,False,False,51,51644,False,1861,False,743,"Ottawa, Ontario",52589,Eastern Time (US & Canada),metroottawa,jsonfile_yoplait.json,0.9364657402038574,neutral
13967,RT @MetroNewsCanada: Canadian Food Inspection Agency expands yogurt #recall to Yoplait and Liberte  ,en,Wed Jul 19 17:56:22 ,Wed,17:56:22,7/19/2017,7/19/2017 17:56,11,,,,False,False,153,48506,False,1162,False,580,"Edmonton, Alberta",47678,Mountain Time (US & Canada),metroedmonton,jsonfile_yoplait.json,0.9364657402038574,neutral
13968,RT @MetroNewsCanada: Canadian Food Inspection Agency expands yogurt #recall to Yoplait and Liberte  ,en,Wed Jul 19 17:56:20 ,Wed,17:56:20,7/19/2017,7/19/2017 17:56,11,,,,False,False,45,72869,False,2605,False,954,"Calgary, Alberta",63114,Mountain Time (US & Canada),metrocalgary,jsonfile_yoplait.json,0.9364657402038574,neutral
13969,Canadian Food Inspection Agency expands yogurt #recall to Yoplait and Liberte  ,en,Wed Jul 19 17:56:11 ,Wed,17:56:11,7/19/2017,7/19/2017 17:56,11,,,,False,False,108,13179,False,78,False,437,Nationwide,51404,Eastern Time (US & Canada),MetroNewsCanada,jsonfile_yoplait.json,0.9187250137329102,neutral
13971,"RT @HuffPostCanada: Yoplait Minigo, Liberte, Iogo yogurt products recalled nationwide  ",en,Wed Jul 19 17:55:27 ,Wed,17:55:27,7/19/2017,7/19/2017 17:55,6,,,,False,False,394,6,False,111,False,0,"London, Ontario",97,,melissamareeD,jsonfile_yoplait.json,0.5303166508674622,negative
13972,RT @CBCBusiness: Canadian Food Inspection Agency expands yogurt recall to Yoplait and Liberte  ,en,Wed Jul 19 17:55:24 ,Wed,17:55:24,7/19/2017,7/19/2017 17:55,27,,,,False,False,218797,2083,False,1743,True,97,Houston British Columbia ,55841,Central Time (US & Canada),kimberleycolbor,jsonfile_yoplait.json,0.9264360666275024,neutral
13974,"RT @CP24: CFIA expands yogurt recall to Yoplait and Liberte
 ",en,Wed Jul 19 17:53:54 ,Wed,17:53:54,7/19/2017,7/19/2017 17:53,45,,,,False,False,8852,328,False,126,False,113,Oshawa,80979,Eastern Time (US & Canada),rokyfitz,jsonfile_yoplait.json,0.934406042098999,neutral
13975,Canadian Food Inspection Agency expands yogurt recall to Yoplait and Liberte ,en,Wed Jul 19 17:52:52 ,Wed,17:52:52,7/19/2017,7/19/2017 17:52,0,,,,False,False,1525,519,False,1758,True,60,Vancouver Canada,4564,Pacific Time (US & Canada),Brian_I,jsonfile_yoplait.json,0.9226500391960144,neutral
13976,RT @CBCToronto: Canadian Food Inspection Agency expands yogurt recall to Yoplait and Liberte  ,en,Wed Jul 19 17:52:12 ,Wed,17:52:12,7/19/2017,7/19/2017 17:52,10,,,,False,False,3601,884,False,720,False,283,"Paris, Ontario",20926,,KarlenInfo,jsonfile_yoplait.json,0.9233969449996948,neutral
13977,"Canadian yogurt recall expanded to include Yoplait, Liberte   via @torontostar",en,Wed Jul 19 17:52:12 ,Wed,17:52:12,7/19/2017,7/19/2017 17:52,2,,,,False,False,4748,433,False,630,False,58,HBC | 3500-2 Bloor St. East,4859,Pacific Time (US & Canada),kblegal007,jsonfile_yoplait.json,0.9267666339874268,neutral
13979,RT @CTVToronto: Recall: Canadian Yogurt recall now includes Yoplait Minigo and Liberte  ,en,Wed Jul 19 17:52:00 ,Wed,17:52:00,7/19/2017,7/19/2017 17:52,22,,,,False,False,3601,884,False,720,False,283,"Paris, Ontario",20926,,KarlenInfo,jsonfile_yoplait.json,0.8173301815986633,neutral
