Key,text,lang,created_at,created_day,timeonly,created_dateonly,datetime,retweet_count,coordinates,geo,place,retweeted,truncated,user_favourites_count,user_followers_count,user_following,user_friends_count,user_geo_enabled,user_listed_count,user_location,user_statuses_count,user_time_zone,user_screen_name,file,sentiment_score,sentiment,company_name
1118,"@NeokaiTiger Siggi's is good, IMO. There's also Wallaby brand kefir.",en,Tue Jun 20 21:07:36 ,Tue,21:07:36,6/20/2017,6/20/2017 21:07,0,,,,False,False,20804,17,False,150,False,1,"Pangnirtung, Nunavut",54659,Eastern Time (US & Canada),PogeyNarc,jsonfile_today_siggi_ny.json,0.9043027758598328,positive,wallaby
2441,We can't help but root for these roasted carrots with Wallaby Greek Yogurt and lemon.🥕 ,en,Sun Jun 25 12:00:06 ,Sun,12:00:06,6/20/2017,6/20/2017 12:00,0,,,,False,False,1273,3785,False,2967,True,64,"Napa County, CA",2023,Pacific Time (US & Canada),wallabyyogurt,jsonfile_today_wallaby_ny.json,0.9312925934791565,positive,wallaby
2561,"PRO smoothie making tip: always blend your probiotics.

Recipe: 1 cup Wallaby Mango Kefir, mango, banana, turmeric,… ",en,Fri Jun 23 12:00:07 ,Fri,12:00:07,6/26/2017,6/26/2017 12:00,1,,,,False,True,1273,3785,False,2967,True,64,"Napa County, CA",2023,Pacific Time (US & Canada),wallabyyogurt,jsonfile_today_wallaby_ny.json,0.8445242047309875,neutral,wallaby
17029,"@PlentiYogurt @browncowyogurt @FAGEUSA @LiberteUSA @Stonyfield @wallabyyogurt @YoCrunch I followed you, so DM your offers please.",en,Tue Aug 08 20:51:01 ,Tue,20:51:01,8/8/2017,8/8/2017 20:51,0,,,,False,False,89,1776,False,710,True,146,"Indiana (via Columbus, OH)",39440,Eastern Time (US & Canada),sweetbob,jsonfile_Stonyfield.json,0.6003313064575195,neutral,wallaby
17032,"(please read previous tweet) @browncowyogurt @FAGEUSA @Stonyfield, @LiberteUSA @YoCrunch @PowerfulYogurt @Wallabyyogurrt @TheGreekGods",en,Tue Aug 08 20:35:21 ,Tue,20:35:21,8/8/2017,8/8/2017 20:35,0,,,,False,False,89,1776,False,710,True,146,"Indiana (via Columbus, OH)",39440,Eastern Time (US & Canada),sweetbob,jsonfile_Stonyfield.json,0.8170653581619263,neutral,wallaby
