,Key,retweet_count,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_statuses_count
count,16433.0,16433.0,16433.0,16433.0,16433.0,16433.0,16433.0
mean,15836.377654719163,31.320209334874946,9980.613460719283,19382.901174466013,4138.692752388487,429.6807643157062,46436.71259051908
std,8502.293733718989,89.4235634562879,23906.46005725782,198879.76240469617,11798.71776383868,1988.2612229794386,99283.07306022977
min,1.0,0.0,0.0,0.0,0.0,0.0,1.0
25%,9264.0,0.0,304.0,212.0,236.0,4.0,3151.0
50%,14430.0,0.0,2207.0,881.0,710.0,30.0,14341.0
75%,21453.0,19.0,9356.0,5385.0,2504.0,236.0,50657.0
max,31567.0,4207.0,587831.0,14323970.0,262425.0,105993.0,2262640.0
